question,answer
"Giá bao nhiêu?","Dạ bạn cho em biết món nào để em báo giá ạ"
"Menu có gì?","Dạ bạn xem menu trên page shop nhé, hoặc em gửi ảnh menu cho bạn ạ"
"Ship bao lâu?","Dạ ship trong vòng 30-45 phút khu vực nội thành ạ"
"Có ship xa không?","Dạ ship qua GrabFood/ShopeeFood toàn thành phố ạ"
"Đặt mấy phần có giảm không?","Dạ đặt từ 5 phần trở lên giảm 10% ạ"
"Mấy giờ đóng cửa?","Shop mở từ 8h-22h hàng ngày ạ"
"Có giao tận nơi không?","Có ạ, bạn gửi địa chỉ để em tính phí ship nhé"
"Thanh toán bằng gì?","Shop nhận chuyển khoản, tiền mặt và COD ạ"
"Có đồ chay không?","Dạ có ạ, shop có menu chay riêng. Bạn cần em gửi không ạ?"
"Đặt hàng thế nào?","Bạn gửi em: Món + Số lượng + Địa chỉ + SĐT là em đặt luôn ạ"
"Phí ship bao nhiêu?","Dạ tùy khoảng cách, thường 15k-30k ạ. Bạn gửi địa chỉ em tính chính xác nhé"
"Có khuyến mãi gì không?","Dạ hiện shop đang có combo giảm 20% cho đơn từ 200k ạ"
