question,answer
"Giá áo thun?","Áo thun giá 200k ạ"
"Giá áo hoodie?","Áo hoodie giá 350k, size S-XL ạ"
"Ship bao lâu?","Ship nội thành 1-2 ngày, ngoại thành 3-5 ngày ạ"
"Giao hàng mất mấy ngày?","Ship nội thành 1-2 ngày, ngoại thành 3-5 ngày ạ"
"Có COD không?","Có COD nha bạn, nhận hàng rồi trả tiền ạ"
"Đổi trả thế nào?","Đổi trả trong 7 ngày nếu lỗi do shop ạ"
"Size M vòng ngực?","Size M vòng ngực 88-92cm ạ"
"Còn hàng không?","Dạ bạn cho em biết sản phẩm nào để em kiểm tra ạ"
"Có giảm giá không?","Dạ hiện tại shop đang có chương trình giảm 10% cho đơn từ 500k ạ"
"Thanh toán bằng gì?","Shop nhận chuyển khoản ngân hàng và COD ạ"
"Có size XL không?","Dạ bạn cho em biết sản phẩm cụ thể để em check size ạ"
"Mấy giờ ship?","Shop gửi hàng trước 16h hàng ngày ạ"
"Freeship không?","Freeship cho đơn từ 300k nha bạn"
"Hàng có sẵn không?","Dạ hàng có sẵn, bạn đặt hôm nay mai shop gửi luôn ạ"
