question,answer
"Giá áo thun?","Dạ áo thun giá từ 150k-250k tùy mẫu ạ. Bạn thích mẫu nào để em báo giá chính xác nhé?"
"Giá áo hoodie?","Áo hoodie giá 350k, size S-XL ạ"
"Ship bao lâu?","Ship nội thành 1-2 ngày, ngoại thành 3-5 ngày ạ"
"Giao hàng mất mấy ngày?","Ship nội thành 1-2 ngày, ngoại thành 3-5 ngày ạ"
"Có COD không?","Có COD nha bạn, nhận hàng rồi trả tiền ạ"
"Đổi trả thế nào?","Đổi trả trong 7 ngày nếu lỗi do shop ạ"
"Có freeship không?","Freeship cho đơn từ 300k nha bạn"
"Thanh toán bằng gì?","Shop nhận chuyển khoản ngân hàng và COD ạ"
"Còn hàng không?","Dạ bạn cho em biết sản phẩm nào để em kiểm tra ạ"
"Có giảm giá không?","Dạ hiện tại shop đang có chương trình giảm 10% cho đơn từ 500k ạ"
"Size M vòng ngực?","Size M vòng ngực 88-92cm ạ"
"Size L vòng ngực?","Size L vòng ngực 92-96cm ạ"
"Size XL vòng ngực?","Size XL vòng ngực 96-100cm ạ"
"Bảng size?","Dạ bạn xem bảng size: S(80-84), M(88-92), L(92-96), XL(96-100) vòng ngực ạ"
"Có size XL không?","Dạ bạn cho em biết sản phẩm cụ thể để em check size ạ"
"Hàng có sẵn không?","Dạ hàng có sẵn, bạn đặt hôm nay mai shop gửi luôn ạ"
"Mấy giờ ship?","Shop gửi hàng trước 16h hàng ngày ạ"
"Có màu gì?","Dạ bạn cho em biết sản phẩm nào để em check màu còn hàng ạ"
"Đặt hàng thế nào?","Bạn gửi em: Tên + SĐT + Địa chỉ + Sản phẩm (size, màu) là em đặt luôn ạ"
"Shop ở đâu?","Shop ở Hà Nội ạ. Bạn mua online ship toàn quốc nha"
"Hàng real không?","Dạ 100% hàng chính hãng, shop cam kết đổi trả nếu phát hiện hàng giả ạ"
"Giá sỉ bao nhiêu?","Dạ mua từ 10 cái trở lên shop có giá sỉ ạ. Bạn inbox số lượng để em báo giá nhé"
"Khi nào có hàng mới?","Shop update mẫu mới hàng tuần ạ. Bạn follow page để cập nhật nhé"
